date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-02,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0
2010-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-05,0,3,3,0,0,8,4,5,0,0,0,0,0,0,0,0,0
2010-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-07,0,0,0,0,0,14,5,5,4,0,0,0,0,1,0,0,0
2010-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-09,0,3,1,0,3,16,4,4,2,0,0,0,0,0,0,0,1
2010-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-12,0,5,0,0,0,10,8,6,0,0,0,0,0,0,0,0,0
2010-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-14,0,1,1,7,0,6,8,4,4,0,0,0,0,0,0,0,0
2010-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-16,0,0,1,0,0,12,3,6,4,2,0,0,0,0,0,0,0
2010-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-19,0,0,0,1,0,10,5,4,3,2,6,0,5,1,0,0,0
2010-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-21,0,0,3,0,5,2,4,3,5,5,0,0,0,0,0,0,0
2010-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-23,0,0,0,0,33,4,10,0,8,3,3,1,2,15,0,1,0
2010-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-26,0,0,0,0,2,4,0,14,0,8,1,0,0,0,0,0,3
2010-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-28,0,1,0,0,9,0,6,6,0,0,0,0,0,8,0,0,0
2010-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-30,0,3,0,0,0,11,0,13,7,7,5,0,0,0,0,0,0
2010-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-02,0,0,0,0,0,0,0,24,7,2,0,0,0,0,0,0,0
2010-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-04,0,0,0,0,0,0,14,11,3,0,3,0,0,1,0,0,0
2010-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-06,0,0,0,0,0,1,0,0,12,17,3,6,0,1,0,0,0
2010-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-09,0,0,0,0,0,0,10,6,4,0,4,3,2,5,0,0,0
