date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-05,0,0,0,0,0,10,3,0,0,0,0,0,0,2,0,0,0
2010-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-07,0,0,0,0,0,11,0,8,0,0,0,0,0,1,0,0,0
2010-01-08,0,0,0,0,0,11,3,0,0,6,0,0,0,3,0,0,0
2010-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-10,0,0,0,0,0,7,4,1,3,0,0,0,0,1,0,0,0
2010-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-12,0,0,0,0,0,4,1,10,0,0,0,2,0,0,0,0,0
2010-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-14,0,18,0,0,0,4,6,0,3,0,0,0,0,1,0,0,0
2010-01-15,0,13,9,0,1,6,0,8,2,7,0,0,0,7,0,0,0
2010-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-17,0,0,0,0,0,3,1,6,0,0,0,0,0,6,0,0,0
2010-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-19,0,0,0,0,1,6,1,1,7,0,0,0,0,1,0,0,0
2010-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-22,0,0,0,0,1,2,0,11,3,8,0,0,0,0,0,0,0
2010-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-29,0,0,0,0,0,0,2,1,13,12,6,5,1,0,0,0,0
2010-01-30,0,0,0,0,0,0,1,0,14,13,0,0,5,0,0,0,0
2010-01-31,0,0,0,18,0,0,0,2,13,1,5,1,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,4,0,14,0,2,0,0,0,0,0,0
2010-02-02,0,0,0,0,0,4,0,0,17,2,0,0,0,1,0,0,0
2010-02-03,0,0,0,0,0,0,1,0,3,0,16,0,0,0,0,0,0
2010-02-04,0,0,0,0,0,0,6,1,9,1,4,0,0,0,0,0,0
2010-02-05,0,0,0,0,0,4,0,6,13,7,3,0,0,4,0,0,0
2010-02-06,0,0,0,0,0,1,0,0,26,8,3,0,0,5,0,0,0
2010-02-07,0,0,0,0,0,0,0,0,0,0,26,2,10,0,0,0,0
2010-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,6,0
2010-02-09,0,0,0,0,0,0,0,0,0,0,0,1,15,13,1,0,0
2010-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-11,0,0,0,0,0,2,0,0,0,3,36,1,7,14,0,0,0
2010-02-12,0,0,0,0,0,0,0,0,0,1,26,0,10,14,0,0,0
2010-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-15,0,0,0,0,0,0,18,2,2,1,2,0,0,9,0,0,0
2010-02-16,0,0,0,0,1,12,0,7,8,0,0,0,0,1,0,0,0
2010-02-17,0,0,0,0,0,0,0,0,14,0,7,7,0,0,0,0,0
2010-02-18,0,0,0,0,0,16,0,0,0,1,19,0,2,4,0,0,0
2010-02-19,0,0,0,0,0,17,5,0,0,3,0,0,0,1,8,0,0
2010-02-20,0,0,0,0,17,22,0,0,0,0,0,0,0,1,14,0,0
2010-02-21,0,0,0,0,0,0,0,0,0,4,6,10,1,2,3,0,0
2010-02-22,0,0,0,0,0,2,0,0,8,0,6,1,0,5,0,0,0
2010-02-23,0,0,0,0,0,8,0,0,10,5,3,0,0,2,0,0,0
2010-02-24,0,0,0,0,0,11,0,4,4,1,0,0,0,4,0,0,1
2010-02-25,0,0,0,0,0,2,0,12,6,0,5,0,0,2,0,0,0
2010-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0
2010-03-02,0,0,0,0,0,1,0,18,1,0,2,0,0,0,0,0,0
2010-03-03,0,0,0,0,0,2,1,7,0,0,0,0,1,0,0,0,0
2010-03-04,0,0,0,0,0,2,0,6,0,0,5,0,0,0,0,0,0
2010-03-05,0,0,0,0,0,3,0,16,1,0,1,1,0,2,0,0,2
2010-03-06,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0
2010-03-07,0,0,0,0,0,22,1,3,0,0,0,0,0,1,0,0,0
2010-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-09,0,0,16,0,0,21,0,2,0,0,0,0,0,0,0,0,0
2010-03-10,0,0,0,0,0,12,0,8,0,0,0,0,0,1,0,0,0
2010-03-11,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,0,0
2010-03-12,0,0,0,0,0,17,0,7,0,0,0,0,0,0,0,0,0
2010-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-14,0,0,0,0,0,6,0,7,0,0,2,0,0,0,0,0,0
2010-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-16,0,0,0,0,0,32,3,0,0,0,0,0,0,0,0,0,0
2010-03-17,0,0,10,0,0,12,0,0,0,5,0,0,0,1,0,0,0
2010-03-18,0,0,0,0,3,15,0,0,0,0,5,0,0,2,0,0,0
