date,PNRNBR,Hometown,birthday,gender,airline,air_num,Departure airport,Destination airport,is_holiday,begin,end,seats,discount,label
20100102,1688529276.0,3303,1987,1,307,7559,HFE,WNZ,1,7,8,0,0.5021,5
20100102,1699093708.0,3401,1976,1,307,7559,HFE,WNZ,1,7,8,1,0.5978,6
20100102,1722865579.0,3303,1978,0,307,7559,HFE,WNZ,1,7,8,2,0.5978,6
20100102,1722865731.0,3404,1983,0,307,7559,HFE,WNZ,1,7,8,3,0.7054,9
20100102,1722969443.0,3303,1953,0,307,7559,HFE,WNZ,1,7,8,4,0.4065,3
20100102,1722969619.0,3303,1982,1,307,7559,HFE,WNZ,1,7,8,5,0.4543,4
20100102,1724314802.0,3303,1966,1,307,7559,HFE,WNZ,1,7,8,6,0.5978,6
20100102,1738926055.0,3303,1971,1,307,7559,HFE,WNZ,1,7,8,7,0.6755,8
20100102,1739094714.0,3303,1960,1,307,7559,HFE,WNZ,1,7,8,8,0.8009999999999999,11
20100102,1742969197.0,3424,1975,1,307,7559,HFE,WNZ,1,7,8,9,0.8787,12
20100102,1743074564.0,3421,1979,0,307,7559,HFE,WNZ,1,7,8,10,0.8009999999999999,11
20100102,1744328142.0,3303,1960,1,307,7559,HFE,WNZ,1,7,8,11,0.8009999999999999,11
20100102,1744397395.0,3303,1967,1,307,7559,HFE,WNZ,1,7,8,12,0.8009999999999999,11
20100102,1744491831.0,4128,1962,1,307,7559,HFE,WNZ,1,7,8,13,0.8009999999999999,11
20100102,1747454071.0,3401,1983,0,307,7559,HFE,WNZ,1,7,8,14,1.0,13
20100102,1748034628.0,3303,1976,1,307,7559,HFE,WNZ,1,7,8,15,0.9744,13
20100102,1748082157.0,3326,1979,1,307,7559,HFE,WNZ,1,7,8,16,1.0043,14
20100102,1748084564.0,3308,1987,1,307,7559,HFE,WNZ,1,7,8,17,1.0043,14
20100102,1748183780.0,3401,1981,1,307,7559,HFE,WNZ,1,7,8,18,1.0043,14
20100102,1748205312.0,3426,1974,1,307,7559,HFE,WNZ,1,7,8,19,0.9744,13
20100102,1748325729.0,3303,1960,1,307,7559,HFE,WNZ,1,7,8,20,1.0043,14
20100102,1748380450.0,3303,1983,0,307,7559,HFE,WNZ,1,7,8,21,1.0043,14
20100102,1748380450.0,3303,1983,0,307,7559,HFE,WNZ,1,7,8,21,1.0043,14
20100102,1748380450.0,3401,1983,1,307,7559,HFE,WNZ,1,7,8,22,1.0043,14
20100102,1748380450.0,3401,1983,1,307,7559,HFE,WNZ,1,7,8,22,1.0043,14
20100102,1748390947.0,6501,1964,0,307,7559,HFE,WNZ,1,7,8,23,1.0043,14
20100102,1748774397.0,3303,1982,0,307,7559,HFE,WNZ,1,7,8,24,1.0043,14
20100102,1749094360.0,3303,1977,1,307,7559,HFE,WNZ,1,7,8,25,1.0043,14
20100105,1729103199.0,3424,1989,0,307,7559,HFE,WNZ,0,4,5,0,0.4576,4
20100105,1733322086.0,3303,1980,0,307,7559,HFE,WNZ,0,4,5,1,0.4094,3
20100105,1736600453.0,4522,1980,1,307,7559,HFE,WNZ,0,4,5,2,0.602,7
20100105,1736600453.0,4522,1980,1,307,7559,HFE,WNZ,0,4,5,2,0.602,7
20100105,1736600453.0,1102,1963,1,307,7559,HFE,WNZ,0,4,5,3,0.602,7
20100105,1736600453.0,1102,1963,1,307,7559,HFE,WNZ,0,4,5,3,0.602,7
20100105,1744311207.0,3401,1949,1,307,7559,HFE,WNZ,0,4,5,4,0.602,7
20100105,1744352234.0,3401,1980,0,307,7559,HFE,WNZ,0,4,5,5,0.602,7
20100105,1744374015.0,3401,1950,1,307,7559,HFE,WNZ,0,4,5,6,0.5057,5
20100105,1744794767.0,3401,1950,1,307,7559,HFE,WNZ,0,4,5,7,0.602,7
20100105,1744794767.0,3401,1950,1,307,7559,HFE,WNZ,0,4,5,7,0.602,7
20100105,1744794767.0,3401,1959,1,307,7559,HFE,WNZ,0,4,5,8,0.602,7
20100105,1744794767.0,3401,1959,1,307,7559,HFE,WNZ,0,4,5,8,0.602,7
20100105,1745570340.0,3325,1978,1,307,7559,HFE,WNZ,0,4,5,9,0.602,7
20100105,1745958055.0,1526,1981,1,307,7559,HFE,WNZ,0,4,5,10,0.602,7
20100105,1746031958.0,3401,1953,1,307,7559,HFE,WNZ,0,4,5,11,0.602,7
20100105,1746921519.0,3401,1957,1,307,7559,HFE,WNZ,0,4,5,12,0.7345,9
20100105,1748146818.0,3401,1972,1,307,7559,HFE,WNZ,0,4,5,13,1.0114,14
20100105,1748862863.0,3303,1978,0,307,7559,HFE,WNZ,0,4,5,14,1.0114,14
20100105,1748862863.0,3303,1978,0,307,7559,HFE,WNZ,0,4,5,14,1.0114,14
20100105,1748862863.0,3303,1978,0,307,7559,HFE,WNZ,0,4,5,14,1.0114,14
20100105,1748862863.0,3303,1978,0,307,7559,HFE,WNZ,0,4,5,14,1.0114,14
20100105,1748862863.0,3303,1978,0,307,7559,HFE,WNZ,0,4,5,14,1.0114,14
20100105,1748862863.0,3303,1942,0,307,7559,HFE,WNZ,0,4,5,15,1.0114,14
20100105,1748862863.0,3303,1942,0,307,7559,HFE,WNZ,0,4,5,15,1.0114,14
20100105,1748862863.0,3303,1942,0,307,7559,HFE,WNZ,0,4,5,15,1.0114,14
20100105,1748862863.0,3303,1942,0,307,7559,HFE,WNZ,0,4,5,15,1.0114,14
20100105,1748862863.0,3303,1942,0,307,7559,HFE,WNZ,0,4,5,15,1.0114,14
20100105,1748862863.0,3303,1946,0,307,7559,HFE,WNZ,0,4,5,16,1.0114,14
20100105,1748862863.0,3303,1946,0,307,7559,HFE,WNZ,0,4,5,16,1.0114,14
20100105,1748862863.0,3303,1946,0,307,7559,HFE,WNZ,0,4,5,16,1.0114,14
20100105,1748862863.0,3303,1946,0,307,7559,HFE,WNZ,0,4,5,16,1.0114,14
20100105,1748862863.0,3303,1946,0,307,7559,HFE,WNZ,0,4,5,16,1.0114,14
20100105,1748862863.0,3303,1951,1,307,7559,HFE,WNZ,0,4,5,17,1.0114,14
