date,PNRNBR,Hometown,birthday,gender,airline,air_num,Departure airport,Destination airport,is_holiday,begin,end,seats,discount,label
20100101,1745894388.0,3701,1969,1,209,4608,LHW,TAO,1,8,9,0,1.1111,14
20100101,1745894388.0,3701,1969,1,209,4608,LHW,TAO,1,8,9,0,1.1111,14
20100101,1745894388.0,3701,1969,1,209,4608,LHW,TAO,1,8,9,0,1.1111,14
20100101,1745894388.0,6201,1971,1,209,4608,LHW,TAO,1,8,9,1,1.1111,14
20100101,1745894388.0,6201,1971,1,209,4608,LHW,TAO,1,8,9,1,1.1111,14
20100101,1745894388.0,6201,1971,1,209,4608,LHW,TAO,1,8,9,1,1.1111,14
20100101,1745894388.0,6201,1970,0,209,4608,LHW,TAO,1,8,9,2,1.1111,14
20100101,1745894388.0,6201,1970,0,209,4608,LHW,TAO,1,8,9,2,1.1111,14
20100101,1745894388.0,6201,1970,0,209,4608,LHW,TAO,1,8,9,2,1.1111,14
20100101,1748112524.0,4123,1976,1,209,4608,LHW,TAO,1,8,9,3,0.5556,6
20100101,1748178323.0,6201,1964,1,209,4608,LHW,TAO,1,8,9,4,1.1111,14
20100103,1743636422.0,3505,1986,0,209,4608,LHW,TAO,1,6,7,0,0.7195,9
20100103,1744836376.0,6590,1974,1,209,4608,LHW,TAO,1,6,7,1,1.0,13
20100103,1746048844.0,6201,1964,1,209,4608,LHW,TAO,1,6,7,2,1.0,13
20100103,1746048844.0,6201,1964,1,209,4608,LHW,TAO,1,6,7,2,1.0,13
20100103,1746048844.0,6201,1964,1,209,4608,LHW,TAO,1,6,7,2,1.0,13
20100103,1746048844.0,6201,1964,1,209,4608,LHW,TAO,1,6,7,2,1.0,13
20100103,1746048844.0,6201,1955,1,209,4608,LHW,TAO,1,6,7,3,1.0,13
20100103,1746048844.0,6201,1955,1,209,4608,LHW,TAO,1,6,7,3,1.0,13
20100103,1746048844.0,6201,1955,1,209,4608,LHW,TAO,1,6,7,3,1.0,13
20100103,1746048844.0,6201,1955,1,209,4608,LHW,TAO,1,6,7,3,1.0,13
20100103,1746048844.0,3303,1980,1,209,4608,LHW,TAO,1,6,7,4,1.0,13
20100103,1746048844.0,3303,1980,1,209,4608,LHW,TAO,1,6,7,4,1.0,13
20100103,1746048844.0,3303,1980,1,209,4608,LHW,TAO,1,6,7,4,1.0,13
20100103,1746048844.0,3303,1980,1,209,4608,LHW,TAO,1,6,7,4,1.0,13
20100103,1746048844.0,6201,1974,1,209,4608,LHW,TAO,1,6,7,5,1.0,13
20100103,1746048844.0,6201,1974,1,209,4608,LHW,TAO,1,6,7,5,1.0,13
20100103,1746048844.0,6201,1974,1,209,4608,LHW,TAO,1,6,7,5,1.0,13
20100103,1746048844.0,6201,1974,1,209,4608,LHW,TAO,1,6,7,5,1.0,13
20100103,1747053000.0,6201,1970,1,209,4608,LHW,TAO,1,6,7,6,1.0,13
20100103,1748219414.0,3707,1978,1,209,4608,LHW,TAO,1,6,7,7,1.0,13
20100103,1748885367.0,6204,1985,1,209,4608,LHW,TAO,1,6,7,8,1.0,13
20100105,1744340628.0,1424,1984,0,209,4608,LHW,TAO,0,4,5,0,1.0,13
20100105,1748801278.0,5301,1966,1,209,4608,LHW,TAO,0,4,5,1,1.0,13
